hitClass,exitSpeed,launchAngle,direction,distance,playingLevel
2,36.22035,2.510175,-5.306371,22.7810974,1
3,33.8934631,13.4866352,-17.15038,54.2719,1
2,0,0,0,0,1
1,27.3816357,-7.79871225,24.2296219,4.170391,0
1,28.9781761,-8.900473,17.0959,3.15074062,0
5,25.9617043,32.28139,-14.8996592,55.99721,1
3,33.044796,14.5027447,6.420901,42.8809128,0
2,0,0,0,0,1
3,34.45232,9.15695,8.545378,40.4282455,0
2,0,0,0,0,3
2,0,0,0,0,0
2,0,0,0,0,3
2,0,0,0,0,1
2,0,0,0,0,1
2,0,0,0,0,2
3,34.7275467,7.861033,20.6730881,34.9573326,0
2,37.0725174,0.053895466,26.0327377,10.5585,0
4,38.1096039,16.3889484,17.2975941,70.811676,2
1,45.9492226,-1.47807622,18.885685,11.6193419,3
6,31.56982,63.643364,-36.57357,57.20165,1
2,0,0,0,0,1
2,0,0,0,0,1
2,27.0744667,3.14866543,0.1525413,19.8542519,3
2,0,0,0,0,1
2,0,0,0,0,2
5,35.9858665,31.267992,-5.70068932,91.97616,1
5,28.6113853,27.2348022,-8.53763,62.0642128,0
4,15.879837,20.770319,-60.2861328,15.9010792,0
4,36.41662,16.9701843,16.764843,68.22736,2
1,39.223484,-7.00064325,1.07270956,5.48829126,2
2,36.88674,4.441804,19.66577,22.5557652,1
4,27.0048943,22.5361958,-6.04282427,48.547554,0
3,35.9132347,13.5600863,-11.7224636,60.0462074,1
4,36.0395737,20.8793,-6.77807045,68.4923859,1
3,34.4266319,7.591227,7.20990658,37.1184158,1
1,19.2147446,-22.4498482,77.72322,2.63977742,0
2,0,0,0,0,1
2,0,0,0,0,0
3,34.6689072,11.1452894,7.66193,39.155365,0
2,0,0,0,0,0
5,29.4132023,30.2772541,13.3081417,67.37633,1
4,38.2759247,21.82859,-22.5081463,95.46789,2
2,0,0,0,0,2
1,38.7384033,-6.884816,-23.7258682,3.912045,3
2,0,0,0,0,3
5,35.7342224,45.9124451,-3.98294139,84.1378,1
5,35.4017448,28.6026554,-15.8529673,80.688385,2
2,0,0,0,0,2
2,0,0,0,0,1
1,32.5317421,-14.7583561,23.4247131,2.90474248,1
2,0,0,0,0,2
2,0,0,0,0,0
2,0,0,0,0,2
1,30.1278057,-10.1358519,-4.19943953,5.20623875,2
4,38.2273941,15.9519539,12.8599873,73.30739,1
3,38.52925,11.4198837,4.502024,68.69844,1
4,29.1897011,17.55613,4.96492243,49.48437,1
2,0,0,0,0,1
3,43.9494133,13.6783867,31.462883,63.64128,0
2,0,0,0,0,2
1,36.6097031,-3.608662,-5.50374031,7.89584,1
2,0,0,0,0,1
3,36.205883,10.3389893,7.99927759,35.78736,3
3,35.28747,13.4355011,10.7956791,57.08118,1
4,35.02933,19.21244,6.77210665,64.3177948,2
